Architecture,Best Epoch,Val Loss,Val Accuracy,Train Time
small,18,0.4587506353855133,0.7708333134651184,5.028985977172852
medium,8,0.5362216830253601,0.7916666865348816,3.99029278755188
large,6,0.5231972336769104,0.75,4.042949199676514
