Classifier,Accuracy,Macro F1,AUC-ROC,Recall (Disease),Train Time
Logistic Regression (Baseline),0.85,0.848951048951049,0.9508928571428572,0.8214285714285714,0.011309385299682617
Random Forest,0.8333333333333334,0.8316498316498316,0.9419642857142857,0.7857142857142857,6.6820549964904785
XGBoost,0.7833333333333333,0.7803435651929034,0.9157366071428571,0.7142857142857143,0.03014683723449707
