k,WCSS,Silhouette Score,ARI (vs true labels)
2,2135.165025509345,0.1743843209534236,0.29884446722643565
3,1950.4483310815388,0.1227126317431247,0.24882416657202966
4,1818.3062205113247,0.12324951163740626,0.17938730569944972
5,1727.5493188463204,0.12071816697146504,0.16454930625108383
6,1662.521898441033,0.1129723736459497,0.1350541951313744
7,1595.361018846847,0.10226735602201542,0.1075155487877116
8,1553.6192864930365,0.09092336349384589,0.09107601609167551
